id,price
1,698738.8803
2,689702.8471
3,491182.0141
4,368828.5806
5,889838.6197
6,407942.9234
7,180833.5783
8,307443.7358
9,329980.3687
10,502034.4654
11,991398.6469
12,365574.857
13,2026530.914
14,564346.5654
15,526961.4362
16,1582163.172
17,498337.6002
18,403332.7963
19,490914.5587
20,432073.8267
21,526976.9385
22,1216861.037
23,511118.125
24,708831.709
25,329608.1989
26,192515.4286
27,635008.1021
28,218573.1061
29,619347.0662
30,152487.3676
31,820395.486
32,745082.5545
33,430605.1975
34,147662.0506
35,242144.8683
36,207878.1142
37,287086.7688
38,649912.6549
39,619645.1372
40,792299.3567
41,657889.3981
42,475162.4532
43,840097.8749
44,196700.5494
45,248564.1115
46,569802.6338
47,375384.4772
48,855931.464
49,1058756.141
50,2323505.379
51,375269.9508
52,769480.8077
53,744259.1439
54,343321.0919
55,555592.6957
56,472595.5963
57,547003.8749
58,538060.9305
59,233971.7624
60,226915.2298
61,232700.68
62,275032.0405
63,357460.2142
64,881821.3733
65,288789.598
66,488035.8123
67,837392.0873
68,303745.121
69,852681.5448
70,596505.3619
71,427001.6813
72,451011.8999
73,703948.0705
74,879382.867
75,443155.8139
76,2504790.482
77,258839.2712
78,653610.4458
79,455351.919
80,1484056.038
81,226507.1207
82,421855.8937
83,410661.4368
84,776191.788
85,376179.8315
86,439540.1112
87,428942.3471
88,275460.2894
89,384077.4425
90,228748.1898
91,509830.5823
92,243300.0524
93,638824.6584
94,453069.0217
95,871772.1838
96,656187.2462
97,1083754.253
98,395367.6146
99,656427.3394
100,294230.6167
101,460745.9766
102,388123.4624
103,299130.122
104,464040.9256
105,283847.0736
106,830709.6393
107,620387.4674
108,500080.1623
109,522574.2938
110,398323.028
111,632090.904
112,482584.7753
113,270312.6696
114,427689.4823
115,246509.1484
116,374731.8972
117,289436.0158
118,943629.8169
119,143312.9232
120,262241.4099
121,1074045.129
122,309024.5098
123,366421.114
124,579230.892
125,296132.1801
126,309603.7052
127,648859.1869
128,795296.0703
129,771023.1092
130,214924.675
131,686866.2905
132,485745.5872
133,375518.5788
134,416303.345
135,404510.4916
136,607824.5917
137,1391194.797
138,316541.3055
139,586896.2983
140,754967.0287
141,710436.8396
142,303768.6096
143,795125.5045
144,546325.8312
145,548511.922
146,794692.0915
147,1843991.989
148,321006.3095
149,483766.4909
150,1017488.22
151,1425448.121
152,1187064.006
153,302703.0148
154,890502.3402
155,458929.833
156,267774.4913
157,161746.3402
158,404495.3673
159,210441.2749
160,537708.5289
161,709050.5464
162,508494.342
163,562735.2811
164,495526.6193
165,552493.7515
166,351301.8819
167,458061.1543
168,566515.8803
169,292206.6976
170,476663.3447
171,529735.2781
172,628173.8478
173,185594.7245
174,299023.7411
175,406869.9219
176,258436.998
177,311560.2357
178,389169.8005
179,410782.6846
180,231235.6019
181,573186.8407
182,371102.1994
183,439735.9539
184,809992.7327
185,389630.2201
186,406765.4742
187,692491.8222
188,456807.0685
189,665412.0089
190,549346.3065
191,245743.8257
192,710515.14
193,408405.1421
194,254510.368
195,414207.9013
196,163419.475
197,309907.1244
198,1028761.303
199,218595.8471
200,561723.6081
201,296267.758
202,462301.7976
203,834521.9904
204,1229079.066
205,832746.1911
206,219134.6339
207,761385.3427
208,669079.6907
209,191533.5297
210,434565.2777
211,292509.3526
212,638934.1532
213,260590.0083
214,249958.9628
215,677175.5603
216,322006.457
217,331203.0551
218,726237.3927
219,493559.9871
220,666192.9785
221,437083.5699
222,864818.5211
223,275156.0143
224,247260.0989
225,201358.4094
226,1046350.087
227,397975.343
228,349389.25
229,1752142.986
230,610256.0744
231,614734.3976
232,458412.4128
233,206730.9563
234,510333.5578
235,507056.6022
236,960289.8245
237,230790.0143
238,450900.7439
239,550166.7682
240,196461.0356
241,322225.5629
242,441777.5506
243,996650.4717
244,301446.3004
245,988497.0896
246,199831.2205
247,643677.0841
248,3728591.819
249,249922.588
250,277641.6684
251,274131.6936
252,331677.3228
253,314964.4715
254,334332.2345
255,305228.8931
256,336610.8639
257,423912.1145
258,1030260.469
259,290574.5425
260,303293.8246
261,302321.0494
262,747778.2884
263,650065.176
264,469824.6025
265,1066608.942
266,814789.3342
267,314590.8923
268,409000.8029
269,458928.4338
270,538500.1223
271,448513.6674
272,423053.3033
273,495295.203
274,508673.736
275,398728.9896
276,463673.7429
277,826869.7843
278,346479.7067
279,219477.5827
280,476889.575
281,529533.68
282,355174.731
283,459143.1204
284,466313.0058
285,1191122.859
286,769273.5539
287,253537.1815
288,808714.5907
289,367944.1175
290,714908.3362
291,677454.6218
292,244745.8514
293,540388.0532
294,775256.337
295,231704.721
296,606319.9724
297,247933.1109
298,443107.4574
299,205446.7272
300,705299.8308
301,1483533.491
302,270496.9486
303,729082.6439
304,875907.1209
305,459199.7165
306,475903.9973
307,450321.5129
308,643486.2956
309,225378.4207
310,152891.6089
311,700409.0709
312,437962.9252
313,479757.5772
314,557223.0342
315,549633.2082
316,455229.1703
317,599244.3653
318,1200653.774
319,457817.9833
320,631813.7638
321,561105.7219
322,513738.0172
323,484559.2736
324,472117.4851
325,992598.8913
